customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TC-00775,Female,1,No,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,55.91,1997.83,Yes
TC-00776,Male,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.29,3356.12,No
TC-00777,Male,1,No,Yes,61,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),85.72,5185.21,No
TC-00778,Female,0,No,No,65,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.96,5896.3,No
TC-00779,Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,60.71,1418.13,No
TC-00780,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,29.99,242.46,No
TC-00781,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,97.17,1341.99,No
TC-00782,Male,0,No,No,35,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),84.94,3045.35,No
TC-00783,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),98.07,127.96,No
TC-00784,Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),49.59,2981.19,Yes
TC-00785,Female,0,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,108.91,6849.6,No
TC-00786,Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,44.27,1218.5,No
TC-00787,Male,1,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),46.98,1423.88,Yes
TC-00788,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,71.64,977.59,Yes
TC-00789,Female,0,No,No,54,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,117.73,6299.99,No
TC-00790,Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),38.22,1247.51,No
TC-00791,Female,0,No,Yes,51,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,101.85,5285.07,No
TC-00792,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.24,373.05,No
TC-00793,Male,1,Yes,No,37,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),41.75,1548.5,No
TC-00794,Female,0,Yes,Yes,2,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),52.61,94.51,Yes
TC-00795,Male,0,Yes,No,53,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,82.86,4352.14,Yes
TC-00796,Male,0,No,Yes,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,29.38,1889.32,No
TC-00797,Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),30.87,544.41,Yes
TC-00798,Male,0,Yes,No,6,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,32.64,255.2,No
TC-00799,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,84.26,2926.43,Yes
TC-00800,Male,1,No,No,59,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,29.46,1746.66,No
TC-00801,Male,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,57.82,1339.2,Yes
TC-00802,Female,1,No,Yes,38,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,33.67,1282.07,No
TC-00803,Male,0,No,No,11,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),56.21,646.86,No
TC-00804,Male,0,No,No,52,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),89.4,4651.2,No
TC-00805,Female,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.77,2886.73,No
TC-00806,Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,79.76,196.27,No
TC-00807,Female,1,No,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),42.85,127.2,Yes
TC-00808,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.76,1341.84,Yes
TC-00809,Female,0,No,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,95.71,2500.46,No
TC-00810,Male,0,No,Yes,3,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Electronic check,49.04,131.8,No
TC-00811,Male,0,No,No,71,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,20.38,1576.1,No
TC-00812,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,30.91,1472.17,No
TC-00813,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),67.1,548.24,No
TC-00814,Female,0,No,No,45,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),56.21,2603.69,No
TC-00815,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,52.56,2281.31,No
TC-00816,Male,0,Yes,Yes,66,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.93,5009.34,No
TC-00817,Male,0,Yes,Yes,51,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,34.15,1696.7,Yes
TC-00818,Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),63.67,2071.02,No
TC-00819,Female,1,No,No,61,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),38.34,2380.76,No
TC-00820,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,116.11,2335.68,Yes
TC-00821,Male,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),22.86,493.66,Yes
TC-00822,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.58,831.57,No
TC-00823,Female,0,No,Yes,40,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,74.42,2993.27,No
TC-00824,Male,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.26,680.52,Yes
TC-00825,Female,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),99.1,483.59,No
TC-00826,Female,0,No,No,55,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,99.96,5495.06,No
TC-00827,Male,0,No,No,13,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,61.23,675.21,No
TC-00828,Female,1,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),101.84,4991.07,No
TC-00829,Male,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),92.05,4641.64,Yes
TC-00830,Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.54,31.54,No
TC-00831,Male,0,No,No,11,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,103.96,1150.26,Yes
TC-00832,Male,0,No,No,23,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,105.43,2462.31,No
TC-00833,Male,1,No,No,36,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,50.27,1847.63,No
TC-00834,Female,0,Yes,No,69,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),95.5,6675.48,No
TC-00835,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),107.74,116.32,No
TC-00836,Female,0,No,No,26,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,92.56,2400.26,Yes
TC-00837,Male,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),27.4,1322.78,No
TC-00838,Male,0,Yes,No,16,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),27.46,463.89,No
TC-00839,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),116.24,1619.01,Yes
TC-00840,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,72.14,2717.78,No
TC-00841,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.44,260.67,Yes
TC-00842,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,109.23,1695.04,No
TC-00843,Male,0,No,Yes,10,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),18.74,279.79,No
TC-00844,Male,0,No,No,11,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,60.67,655.15,No
TC-00845,Male,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),74.64,2317.67,No
TC-00846,Male,0,Yes,No,26,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,18.21,467.03,Yes
TC-00847,Female,0,No,No,43,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.44,3505.04,Yes
TC-00848,Female,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),103.09,4269.67,No
TC-00849,Male,0,Yes,Yes,48,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),23.49,1168.93,Yes
TC-00850,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),98.42,4107.71,No
TC-00851,Male,0,No,No,2,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),115.75,206.01,Yes
TC-00852,Female,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),110.03,3124.81,No
TC-00853,Male,1,Yes,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.7,2424.39,No
TC-00854,Male,1,Yes,No,47,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,104.05,4921.04,No
TC-00855,Male,1,No,No,38,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,95.06,3643.9,No
TC-00856,Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,99.77,2277.25,No
TC-00857,Male,0,Yes,Yes,19,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,57.81,1110.04,No
TC-00858,Male,0,No,No,14,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),65.56,893.65,No
TC-00859,Female,0,Yes,Yes,17,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),41.91,711.49,Yes
TC-00860,Male,0,Yes,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.16,1390.12,No
TC-00861,Female,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),77.72,3060.96,No
TC-00862,Male,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),48.96,3351.29,No
TC-00863,Female,1,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),68.27,698.58,Yes
TC-00864,Female,0,Yes,No,55,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),114.27,6210.4,No
TC-00865,Female,0,Yes,No,17,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,24.31,375.97,No
TC-00866,Male,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,105.35,1124.28,No
TC-00867,Male,1,Yes,No,15,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,26.68,377.98,No
TC-00868,Female,0,Yes,No,26,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),83.36,2119.57,No
TC-00869,Male,0,Yes,No,16,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,52.33,884.24,Yes
TC-00870,Female,1,No,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),28.01,893.33,No
TC-00871,Male,0,Yes,No,34,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.69,3146.07,Yes
TC-00872,Female,0,Yes,No,26,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,87.86,2226.65,No
TC-00873,Female,0,Yes,No,31,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,82.03,2542.26,No
TC-00874,Male,0,No,No,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),114.49,1898.35,No
TC-00875,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,20.37,311.41,Yes
TC-00876,Male,0,No,No,0,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),61.47,61.47,No
TC-00877,Female,1,Yes,No,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.27,3451.21,No
TC-00878,Female,1,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,53.77,2076.43,Yes
TC-00879,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),84.95,1524.93,Yes
TC-00880,Male,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),107.92,7575.24,No
TC-00881,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,87.7,3162.08,Yes
TC-00882,Female,0,Yes,No,15,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),74.94,1134.96,No
TC-00883,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),91.78,3543.94,No
TC-00884,Female,0,Yes,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,28.96,1355.69,No
TC-00885,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),81.0,5145.15,Yes
TC-00886,Male,0,Yes,No,46,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),58.72,2737.88,No
TC-00887,Male,1,No,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),49.88,1023.66,No
TC-00888,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,68.71,2104.58,No
TC-00889,Female,0,No,Yes,48,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,98.47,4795.8,No
TC-00890,Male,0,Yes,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.26,1039.2,No
TC-00891,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),88.24,5879.12,Yes
TC-00892,Male,0,No,Yes,38,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,76.89,2927.99,No
TC-00893,Male,0,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),109.62,6506.74,No
TC-00894,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,62.48,581.21,Yes
TC-00895,Female,0,No,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,99.99,4837.68,No
TC-00896,Female,0,No,No,14,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,102.2,1398.83,No
TC-00897,Female,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,64.42,3876.73,No
TC-00898,Female,0,Yes,No,42,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),66.86,2806.67,No
TC-00899,Male,1,Yes,No,14,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,51.34,778.36,No
TC-00900,Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,67.56,311.84,No
TC-00901,Male,1,Yes,No,28,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),42.93,1113.75,No
TC-00902,Female,0,Yes,No,61,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,103.83,6293.11,No
TC-00903,Female,1,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,42.99,2504.62,No
TC-00904,Male,0,No,No,68,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),43.76,3010.27,Yes
TC-00905,Male,0,Yes,No,21,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,107.57,2234.2,Yes
TC-00906,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),71.22,800.17,No
TC-00907,Female,0,No,Yes,49,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),28.51,1328.76,No
TC-00908,Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,52.57,2454.59,No
TC-00909,Male,0,Yes,No,28,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.54,2375.44,Yes
TC-00910,Female,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,58.58,990.04,No
TC-00911,Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,60.32,1081.73,No
TC-00912,Male,0,No,Yes,5,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.87,316.96,No
TC-00913,Male,0,Yes,No,21,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.25,786.82,Yes
TC-00914,Female,0,Yes,Yes,8,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),60.41,437.32,No
TC-00915,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),39.53,1214.26,No
TC-00916,Female,0,No,No,32,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),53.07,1691.4,Yes
TC-00917,Female,1,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),71.24,4838.24,No
TC-00918,Female,0,No,Yes,48,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,87.37,4173.49,No
TC-00919,Female,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),81.39,2365.47,No
TC-00920,Female,1,Yes,Yes,15,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,75.55,1156.65,No
TC-00921,Male,0,Yes,Yes,64,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,77.55,4861.08,No
TC-00922,Male,0,No,No,13,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,69.09,874.23,No
TC-00923,Male,0,No,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,79.46,4267.62,No
TC-00924,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,55.55,1974.39,No
TC-00925,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,107.94,5159.6,No
TC-00926,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,77.06,3807.4,Yes
TC-00927,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),111.66,3956.77,Yes
TC-00928,Female,0,No,No,51,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,58.46,2930.37,No
TC-00929,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),57.45,1278.61,No
TC-00930,Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),114.5,7475.25,No
TC-00931,Male,0,No,No,70,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),90.91,6326.35,No
TC-00932,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,69.87,3112.93,No
TC-00933,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,89.85,2432.75,Yes
TC-00934,Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),57.67,1082.06,No
TC-00935,Female,1,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),93.88,4513.33,No
TC-00936,Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,38.96,2102.75,No
TC-00937,Female,0,No,Yes,58,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,113.09,6566.24,No
TC-00938,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,64.09,1559.96,No
TC-00939,Female,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),27.29,492.66,No
TC-00940,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,102.5,1209.71,No
TC-00941,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),107.44,6568.26,No
TC-00942,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,91.0,1242.59,Yes
TC-00943,Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),80.97,816.06,Yes
TC-00944,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),110.84,7365.46,Yes
TC-00945,Male,1,No,No,11,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.21,831.16,Yes
TC-00946,Male,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),97.14,3374.44,No
TC-00947,Male,0,No,Yes,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),65.12,2423.92,No
TC-00948,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.72,2749.65,No
TC-00949,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,117.9,1518.96,No
